Time [s],Servo [rad],Table angle [rad]
2.549,0.6806583333333334,0.1739620987719097
2.557,0.6806583333333334,0.17195450203573648
2.565,0.6806583333333334,0.17195450203573648
2.573,0.6806583333333334,0.1699469052995628
2.581,0.6806583333333334,0.16793930856338912
2.589,0.6806583333333334,0.17697349387617045
2.598,0.6806583333333334,0.16793930856338912
2.606,0.6806583333333334,0.1739620987719097
2.614,0.6806583333333334,0.16593171182721544
2.622,0.6806583333333334,0.16793930856338912
2.63,0.6806583333333334,0.16593171182721544
2.638,0.6806583333333334,0.16593171182721544
2.646,0.6806583333333334,0.16593171182721544
2.654,0.6806583333333334,0.16392411509104177
2.662,0.6806583333333334,0.17195450203573648
2.67,0.6806583333333334,0.16793930856338912
2.678,0.6806583333333334,0.16392411509104177
2.686,0.6806583333333334,0.1729583004038231
2.694,0.6806583333333334,0.16593171182721544
2.701,0.6806583333333334,0.16492791345912883
2.709,0.6806583333333334,0.1619165183548681
2.718,0.6806583333333334,0.17195450203573648
2.726,0.6806583333333334,0.17195450203573648
2.735,0.6806583333333334,0.16492791345912883
2.744,0.6806583333333334,0.17195450203573648
2.752,0.6806583333333334,0.1669355101953025
2.761,0.6806583333333334,0.16894310693147574
2.769,0.6806583333333334,0.16593171182721544
2.777,0.6806583333333334,0.1669355101953025
2.785,0.6806583333333334,0.1669355101953025
2.793,0.6806583333333334,0.1669355101953025
2.801,0.6806583333333334,0.16593171182721544
2.808,0.6806583333333334,0.17095070366764942
2.817,0.6806583333333334,0.16793930856338912
2.825,0.6806583333333334,0.1669355101953025
2.833,0.6806583333333334,0.16492791345912883
2.841,0.6806583333333334,0.17697349387617045
2.849,0.6806583333333334,0.16793930856338912
2.857,0.6806583333333334,0.1739620987719097
2.865,0.6806583333333334,0.1589051232506078
2.873,0.6806583333333334,0.17195450203573648
2.881,0.6806583333333334,0.15689752651443412
2.889,0.6806583333333334,0.17095070366764942
2.897,0.6806583333333334,0.16793930856338912
2.905,0.6806583333333334,0.17496589713999677
2.913,0.6806583333333334,0.16392411509104177
2.921,0.6806583333333334,0.16793930856338912
2.929,0.6806583333333334,0.16593171182721544
2.937,0.6806583333333334,0.16793930856338912
2.945,0.6806583333333334,0.1589051232506078
2.953,0.6806583333333334,0.16492791345912883
2.961,0.6806583333333334,0.1589051232506078
2.969,0.6806583333333334,0.1729583004038231
2.977,0.6806583333333334,0.15488992977826088
2.985,0.6806583333333334,0.16894310693147574
2.993,0.6806583333333334,0.16894310693147574
3.001,0.6806583333333334,0.17095070366764942
3.008,0.6806583333333334,0.16392411509104177
3.017,0.6806583333333334,0.17195450203573648
3.026,0.6806583333333334,0.1619165183548681
3.035,0.6806583333333334,0.16593171182721544
3.043,0.6806583333333334,0.1669355101953025
3.051,0.6806583333333334,0.1669355101953025
3.06,0.6806583333333334,0.1699469052995628
3.068,0.6806583333333334,0.15990892161869485
3.076,0.6806583333333334,0.17095070366764942
3.084,0.6806583333333334,0.17095070366764942
3.092,0.6806583333333334,0.17195450203573648
3.1,0.6806583333333334,0.1619165183548681
3.108,0.6806583333333334,0.16793930856338912
3.116,0.6806583333333334,0.16492791345912883
3.123,0.6806583333333334,0.1669355101953025
3.132,0.6806583333333334,0.16894310693147574
3.14,0.6806583333333334,0.1699469052995628
3.148,0.6806583333333334,0.16593171182721544
3.156,0.6806583333333334,0.17195450203573648
3.164,0.6806583333333334,0.16292031672295515
3.172,0.6806583333333334,0.16793930856338912
3.18,0.6806583333333334,0.15990892161869485
3.188,0.6806583333333334,0.17095070366764942
3.196,0.6806583333333334,0.17095070366764942
3.203,0.6806583333333334,0.17095070366764942
3.212,0.6806583333333334,0.16492791345912883
3.22,0.6806583333333334,0.17095070366764942
3.227,0.6806583333333334,0.16091271998678147
3.236,0.6806583333333334,0.17095070366764942
3.244,0.6806583333333334,0.1699469052995628
3.252,0.6806583333333334,0.16292031672295515
3.26,0.6806583333333334,0.16292031672295515
3.268,0.6806583333333334,0.16793930856338912
3.276,0.6806583333333334,0.1669355101953025
3.284,0.6806583333333334,0.1739620987719097
3.292,0.6806583333333334,0.16793930856338912
3.3,0.6806583333333334,0.17797729224425707
3.308,0.6806583333333334,0.16292031672295515
3.316,0.6806583333333334,0.16392411509104177
3.324,0.6806583333333334,0.1739620987719097
3.332,0.6806583333333334,0.1669355101953025
3.34,0.6806583333333334,0.1619165183548681
3.348,0.6806583333333334,0.16894310693147574
3.356,0.6806583333333334,0.1589051232506078
3.364,0.6806583333333334,0.17195450203573648
3.372,0.6806583333333334,0.1619165183548681
3.38,0.6806583333333334,0.16894310693147574
3.388,0.6806583333333334,0.1699469052995628
3.396,0.6806583333333334,0.16392411509104177
3.404,0.6806583333333334,0.1699469052995628
3.412,0.6806583333333334,0.1739620987719097
3.42,0.6806583333333334,0.1619165183548681
3.428,0.6806583333333334,0.16492791345912883
3.436,0.6806583333333334,0.16593171182721544
3.444,0.6806583333333334,0.17195450203573648
3.452,0.6806583333333334,0.16091271998678147
3.46,0.6806583333333334,0.16793930856338912
3.468,0.6806583333333334,0.15990892161869485
3.476,0.6806583333333334,0.1759696955080834
3.484,0.6806583333333334,0.16793930856338912
3.492,0.6806583333333334,0.1729583004038231
3.5,0.6806583333333334,0.16492791345912883
3.508,0.6806583333333334,0.17195450203573648
3.516,0.6806583333333334,0.16392411509104177
3.524,0.6806583333333334,0.1729583004038231
3.532,0.6806583333333334,0.16593171182721544
3.54,0.6806583333333334,0.1729583004038231
3.548,0.6806583333333334,0.16894310693147574
3.556,0.6806583333333334,0.1739620987719097
3.564,0.6806583333333334,0.16392411509104177
3.572,0.6806583333333334,0.16793930856338912
3.58,0.6806583333333334,0.16392411509104177
3.588,0.6806583333333334,0.1669355101953025
3.596,0.6806583333333334,0.16392411509104177
3.604,0.6806583333333334,0.1739620987719097
3.612,0.6806583333333334,0.16894310693147574
3.62,0.6806583333333334,0.17797729224425707
3.628,0.6806583333333334,0.17697349387617045
3.636,0.6806583333333334,0.16793930856338912
3.644,0.6806583333333334,0.16292031672295515
3.652,0.6806583333333334,0.1619165183548681
3.66,0.6806583333333334,0.16492791345912883
3.668,0.6806583333333334,0.16593171182721544
3.676,0.6806583333333334,0.16392411509104177
3.684,0.6806583333333334,0.16091271998678147
3.692,0.6806583333333334,0.17095070366764942
3.7,0.6806583333333334,0.15990892161869485
3.708,0.6806583333333334,0.1669355101953025
3.716,0.6806583333333334,0.16894310693147574
3.724,0.6806583333333334,0.16793930856338912
3.732,0.6806583333333334,0.16392411509104177
3.74,0.6806583333333334,0.17195450203573648
3.748,0.6806583333333334,0.1669355101953025
3.756,0.6806583333333334,0.16793930856338912
3.764,0.6806583333333334,0.1619165183548681
3.772,0.6806583333333334,0.16894310693147574
3.78,0.6806583333333334,0.16593171182721544
3.788,0.6806583333333334,0.16894310693147574
3.796,0.6806583333333334,0.1619165183548681
3.804,0.6806583333333334,0.17496589713999677
3.812,0.6806583333333334,0.16392411509104177
3.82,0.6806583333333334,0.1699469052995628
3.828,0.6806583333333334,0.16593171182721544
3.836,0.6806583333333334,0.1759696955080834
3.844,0.6806583333333334,0.16091271998678147
3.852,0.6806583333333334,0.1729583004038231
3.86,0.6806583333333334,0.16292031672295515
3.868,0.6806583333333334,0.17195450203573648
3.876,0.6806583333333334,0.16392411509104177
3.884,0.6806583333333334,0.16292031672295515
3.892,0.6806583333333334,0.16091271998678147
3.9,0.6806583333333334,0.16492791345912883
3.908,0.6806583333333334,0.1729583004038231
3.916,0.6806583333333334,0.1759696955080834
3.924,0.6806583333333334,0.16492791345912883
3.932,0.6806583333333334,0.17195450203573648
3.94,0.6806583333333334,0.1699469052995628
3.948,0.6806583333333334,0.17496589713999677
3.956,0.6806583333333334,0.16793930856338912
3.964,0.6806583333333334,0.1669355101953025
3.972,0.6806583333333334,0.16392411509104177
3.98,0.6806583333333334,0.1759696955080834
3.987,0.6806583333333334,0.16492791345912883
3.996,0.6806583333333334,0.16593171182721544
4.004,0.6806583333333334,0.15689752651443412
4.012,0.6806583333333334,0.17496589713999677
4.02,0.6806583333333334,0.17095070366764942
4.028,0.6806583333333334,0.17095070366764942
4.036,0.6806583333333334,0.16492791345912883
4.044,0.6806583333333334,0.1699469052995628
4.052,0.6806583333333334,0.16392411509104177
4.06,0.6806583333333334,0.17496589713999677
4.068,0.6806583333333334,0.16894310693147574
4.076,0.6806583333333334,0.17797729224425707
4.084,0.6806583333333334,0.1699469052995628
4.092,0.6806583333333334,0.1759696955080834
4.1,0.6806583333333334,0.16894310693147574
4.108,0.6806583333333334,0.1729583004038231
4.116,0.6806583333333334,0.1669355101953025
4.124,0.6806583333333334,0.17095070366764942
4.132,0.6806583333333334,0.17095070366764942
4.14,0.6806583333333334,0.16392411509104177
4.148,0.6806583333333334,0.16793930856338912
4.156,0.6806583333333334,0.16593171182721544
4.164,0.6806583333333334,0.16091271998678147
4.172,0.6806583333333334,0.17898109061234369
4.18,0.6806583333333334,0.16593171182721544
4.188,0.6806583333333334,0.17195450203573648
4.196,0.6806583333333334,0.1669355101953025
4.204,0.6806583333333334,0.16894310693147574
4.212,0.6806583333333334,0.16392411509104177
4.22,0.6806583333333334,0.1729583004038231
4.228,0.6806583333333334,0.16492791345912883
4.236,0.6806583333333334,0.16894310693147574
4.244,0.6806583333333334,0.16593171182721544
4.252,0.6806583333333334,0.1739620987719097
4.26,0.6806583333333334,0.16593171182721544
4.268,0.6806583333333334,0.16793930856338912
4.276,0.6806583333333334,0.16392411509104177
4.284,0.6806583333333334,0.16292031672295515
4.291,0.6806583333333334,0.16593171182721544
4.3,0.6806583333333334,0.1729583004038231
4.308,0.6806583333333334,0.1619165183548681
4.316,0.6806583333333334,0.16894310693147574
4.324,0.6806583333333334,0.16593171182721544
4.332,0.6806583333333334,0.17496589713999677
4.34,0.6806583333333334,0.1669355101953025
4.348,0.6806583333333334,0.16593171182721544
4.356,0.6806583333333334,0.1729583004038231
4.364,0.6806583333333334,0.17095070366764942
4.372,0.6806583333333334,0.17195450203573648
4.38,0.6806583333333334,0.16292031672295515
4.388,0.6806583333333334,0.1619165183548681
4.395,0.6806583333333334,0.16793930856338912
4.404,0.6806583333333334,0.16392411509104177
4.412,0.6806583333333334,0.16492791345912883
4.42,0.6806583333333334,0.16793930856338912
4.428,0.6806583333333334,0.16492791345912883
4.436,0.6806583333333334,0.1739620987719097
4.444,0.6806583333333334,0.1739620987719097
4.452,0.6806583333333334,0.16492791345912883
4.46,0.6806583333333334,0.16292031672295515
4.468,0.6806583333333334,0.1729583004038231
4.476,0.6806583333333334,0.1669355101953025
4.484,0.6806583333333334,0.1729583004038231
4.492,0.6806583333333334,0.16793930856338912
4.5,0.6806583333333334,0.1759696955080834
4.508,0.6806583333333334,0.16492791345912883
4.516,0.6806583333333334,0.1739620987719097
4.524,0.6806583333333334,0.16492791345912883
4.532,0.6806583333333334,0.1699469052995628
